"16091604","15307.0","1.6189447497423E13","1.0576499312355785E9","1.0576499312355785E9"
"16091605","18832.0","1.4535186223632E13","7.718344426312659E8","7.718344426312659E8"
"16091606","9729.0","7.762747885014E12","7.978978194073389E8","7.978978194073389E8"
"16091607","22235.0","1.7293158821852E13","7.777449436407466E8","7.777449436407466E8"
"16091810","17270.0","1.3498859750096E13","7.816363491659526E8","7.816363491659526E8"
"16091608","10494.0","8.531888918087E12","8.130254353046503E8","8.130254353046503E8"
"16091811","14631.0","9.806902746417E12","6.702824650684848E8","6.702824650684848E8"
"16091812","14934.0","1.053283301634E13","7.052921532302129E8","7.052921532302129E8"
"16091609","25691.0","2.0214791483219E13","7.868433102338952E8","7.868433102338952E8"
"16092010","22974.0","2.2154315131237E13","9.643211948827806E8","9.643211948827806E8"
"16092011","18585.0","1.9936160560022E13","1.0727016712414312E9","1.0727016712414312E9"
"16092012","25838.0","1.9152387606953E13","7.412488430587894E8","7.412488430587894E8"
"16091710","14578.0","9.245584335057E12","6.342148672696528E8","6.342148672696528E8"
"16091711","18991.0","1.2794962239412E13","6.737382043816545E8","6.737382043816545E8"
"16091712","9624.0","5.803464247109E12","6.030199758010182E8","6.030199758010182E8"
"16091610","24204.0","1.5322754610854E13","6.330670389544703E8","6.330670389544703E8"
"16091611","16820.0","1.6629062243059E13","9.886481714065993E8","9.886481714065993E8"
"16091612","7751.0","7.540922162673E12","9.728966794830345E8","9.728966794830345E8"
"16092201","19522.0","1.5592067067465E13","7.986920944301301E8","7.986920944301301E8"
"16092202","20355.0","1.7972050788103E13","8.829305226284943E8","8.829305226284943E8"
"16092203","15702.0","1.3217020138018E13","8.417411882574195E8","8.417411882574195E8"
"16092204","22361.0","2.3925070577961E13","1.0699463609839005E9","1.0699463609839005E9"
"16092205","19305.0","2.1784224400513E13","1.1284239523705258E9","1.1284239523705258E9"
"16092206","7400.0","6.365882672434E12","8.602544151937838E8","8.602544151937838E8"
"16092207","8167.0","6.53121743935E12","7.997082697869475E8","7.997082697869475E8"
"16092208","8549.0","6.043312142657E12","7.069028123355948E8","7.069028123355948E8"
"16092209","6886.0","7.033760678127E12","1.0214581292661923E9","1.0214581292661923E9"
"16091901","17590.0","1.100905221424E13","6.258699382740194E8","6.258699382740194E8"
"16091902","19512.0","1.1253600903042E13","5.767528138090405E8","5.767528138090405E8"
"16091903","11040.0","9.605958034418E12","8.701048944219203E8","8.701048944219203E8"
"16092101","21002.0","1.979197231188E13","9.423851210303781E8","9.423851210303781E8"
"16092102","18076.0","1.588879800766E13","8.78999668491923E8","8.78999668491923E8"
